Label;URL
Motorcycle_Accessories;https://data.ozon.ru/app/categories-comparison?category=2_17027495_80189074&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Motorcycle_Gear;https://data.ozon.ru/app/categories-comparison?category=2_17027495_79199415&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Motorcycle_Replacement_Parts;https://data.ozon.ru/app/categories-comparison?category=2_17027495_200001531&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Parking_Equipment;https://data.ozon.ru/app/categories-comparison?category=2_17027495_85083429&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Spark_Plugs_and_Glow_Plugs;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17027946&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Special_Equipment_&_Truck_Replacement_Parts;https://data.ozon.ru/app/categories-comparison?category=2_17027495_200001532&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Tires;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17027949&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Tuning_&_Exterior_Decor;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17028755&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Vehicle_Audio;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17028904&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Wheel_Disks;https://data.ozon.ru/app/categories-comparison?category=2_17027495_17028758&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Cars;https://data.ozon.ru/app/categories-comparison?category=2_92120918_74179490&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Electric_Transport_for_Adults;https://data.ozon.ru/app/categories-comparison?category=2_92120918_43443516&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Motor_Vehicles;https://data.ozon.ru/app/categories-comparison?category=2_92120918_17027951&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Motorhomes_&_Camper_Vans;https://data.ozon.ru/app/categories-comparison?category=2_92120918_200000758&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Special_Equipment_&_Lorries;https://data.ozon.ru/app/categories-comparison?category=2_92120918_200000672&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Charity._Beauty;https://data.ozon.ru/app/categories-comparison?category=2_200001160_200001201&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Charity._Furniture;https://data.ozon.ru/app/categories-comparison?category=2_200001160_200001203&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Charity._Home_Appliances;https://data.ozon.ru/app/categories-comparison?category=2_200001160_200001164&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Accessories;https://data.ozon.ru/app/categories-comparison?category=2_15621031_41777465&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Babies'_clothing;https://data.ozon.ru/app/categories-comparison?category=2_15621031_200001519&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Baby_Underwear;https://data.ozon.ru/app/categories-comparison?category=2_15621031_200001518&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Clothing;https://data.ozon.ru/app/categories-comparison?category=2_15621031_200000933&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Erotic_Clothing_and_Accessories;https://data.ozon.ru/app/categories-comparison?category=2_15621031_200001479&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Sports_Clothing;https://data.ozon.ru/app/categories-comparison?category=2_15621031_200001520&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Underwear;https://data.ozon.ru/app/categories-comparison?category=2_15621031_200001517&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Work_Clothing;https://data.ozon.ru/app/categories-comparison?category=2_15621031_200001521&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Access_Panel;https://data.ozon.ru/app/categories-comparison?category=2_17027482_86491405&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Accessories,_╨бomponents_for_Household_Lighting;https://data.ozon.ru/app/categories-comparison?category=2_17027482_200001698&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Airbrushes,_Spray_Guns;https://data.ozon.ru/app/categories-comparison?category=2_17027482_87323842&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Bathroom_Ceramics_&_Bathtubs;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028738&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Bathroom_Equipment;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028737&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Batteries;https://data.ozon.ru/app/categories-comparison?category=2_17027482_86539914&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Cables_&_Wires;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028662&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Ceiling_Systems;https://data.ozon.ru/app/categories-comparison?category=2_17027482_92255676&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Chain_Saws;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028946&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Cleaning_Equipment;https://data.ozon.ru/app/categories-comparison?category=2_17027482_86674774&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Compressor,_Pump;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028950&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Construction_Blocks;https://data.ozon.ru/app/categories-comparison?category=2_17027482_79531151&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Construction_Mixes;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17865409&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Decor_and_Stucco;https://data.ozon.ru/app/categories-comparison?category=2_17027482_81865080&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Downspout_Systems;https://data.ozon.ru/app/categories-comparison?category=2_17027482_80195569&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Drywall_and_Sheet_Materials;https://data.ozon.ru/app/categories-comparison?category=2_17027482_89121723&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Electric_Planer;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028947&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Electrical_Installation_Products;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028654&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Electrics;https://data.ozon.ru/app/categories-comparison?category=2_17027482_88265327&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Fixed_Ladders;https://data.ozon.ru/app/categories-comparison?category=2_17027482_87241318&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Floor_Coverings;https://data.ozon.ru/app/categories-comparison?category=2_17027482_19863187&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Floor_Heating;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028744&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Front_Doors;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028659&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Glue_Gun;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17033983&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Grinding_Machines;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028948&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Heating;https://data.ozon.ru/app/categories-comparison?category=2_17027482_89326084&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Industrial_Equipment_and_Components;https://data.ozon.ru/app/categories-comparison?category=2_17027482_43434359&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Industrial_Hot_Air_Guns;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028658&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Insulating_Materials;https://data.ozon.ru/app/categories-comparison?category=2_17027482_79560974&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Ladders_&_Stepladders;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17027913&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Lifting_Equipment;https://data.ozon.ru/app/categories-comparison?category=2_17027482_86491609&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Machine_Tool;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028942&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Measuring_Instrument;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028629&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Mixers_&_Shower_Systems;https://data.ozon.ru/app/categories-comparison?category=2_17027482_64766017&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Paint_&_Varnish_Products;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028952&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Pipe_Welding_Machines;https://data.ozon.ru/app/categories-comparison?category=2_17027482_88299285&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Plumbing_Fittings_and_Accessories;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028956&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Plumbing_Fittings;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028723&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Pneumatic_Tools;https://data.ozon.ru/app/categories-comparison?category=2_17027482_88317021&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Pneumatic_Tools_Accessories;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028721&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Polycarbonate_&_Plexiglass;https://data.ozon.ru/app/categories-comparison?category=2_17027482_87570190&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Power_Drill;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028945&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Power_Machinery_&_Equipment;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028657&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Power_Tool_Kit;https://data.ozon.ru/app/categories-comparison?category=2_17027482_19281888&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Protection_and_Fire_Extinguishing_Products;https://data.ozon.ru/app/categories-comparison?category=2_17027482_72163739&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Radiators,_Convectors;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028955&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Ready-Made_Houses,_Sauna_and_Garages;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028655&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Repair_and_Construction_Tool;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028653&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
